K-Text = GS1 AI ID Table for ISO/IEC 15961 Format 9,,,,,,
K-Version = 1.00,,,,,,
K-ISO15434=05,,,,,,
K-Text = Primary Base Table,,,,,,
K-TableID = F9B0,,,,,,
K-RootOID = urn:oid:1.0.15961.9,,,,,,
K-IDsize = 90,,,,,,
AI or AIs,IDvalue,OIDs,IDstring,Name,Data Title,FormatString
0,1,0,0,SSCC (Serial Shipping Container Code),SSCC,18n
1,2,1,1,Global Trade Item Number,GTIN,14n
02 + 37,3,(2)(37),(02)(37),GTIN + Count of trade items contained in a logistic unit,CONTENT + COUNT,(14n)(1*8n)
10,4,10,10,Batch or lot number,BATCH/LOT,1*20an
11,5,11,11,Production date (YYMMDD),PROD DATE,6n
12,6,12,12,Due date (YYMMDD),DUE DATE,6n
13,7,13,13,Packaging date (YYMMDD),PACK DATE,6n
15,8,15,15,Best before date (YYMMDD),BEST BEFORE OR SELL BY,6n
17,9,17,17,Expiration date (YYMMDD),USE BY OR EXPIRY,6n
20,10,20,20,Product variant,VARIANT,2n
21,11,21,21,Serial number,SERIAL,1*20an
22,12,22,22,Secondary data for specific health industry products ** DEPRICATED as of GS1GS13.0 **,QTY/DATE/BATCH,1*29an
240,13,240,240,Additional product identification assigned by the manufacturer,ADDITIONAL ID,1*30an
241,14,241,241,Customer part number,CUST. PART NO.,1*30an
242,15,242,242,Made-to-Order Variation Number,VARIATION NUMBER,1*6n
250,16,250,250,Secondary serial number,SECONDARY SERIAL,1*30an
251,17,251,251,Reference to source entity,REF. TO SOURCE ,1*30an
253,18,253,253,Global Document Type Identifier,DOC. ID,13n 0*17an
30,19,30,30,Variable count,VAR. COUNT,1*8n
310n 320n etc,20,K-Secondary = S00,,"Net weight, kilograms or pounds or troy oz (Variable Measure Trade Item)",,
311n 321n etc,21,K-Secondary = S01,,Length of first dimension (Variable Measure Trade Item),,
312n 324n etc,22,K-Secondary = S02,,"Width, diameter, or second dimension (Variable Measure Trade Item)",,
313n 327n etc,23,K-Secondary = S03,,"Depth, thickness, height, or third dimension (Variable Measure Trade Item)",,
314n 350n etc,24,K-Secondary = S04,,Area (Variable Measure Trade Item),,
315n 316n etc,25,K-Secondary = S05,,Net volume (Variable Measure Trade Item),,
330n or 340n,26,330%x30-36 / 340%x30-36,330%x30-36 / 340%x30-36,"Logistic weight, kilograms or pounds",GROSS WEIGHT (kg) or (lb),6n / 6n 
"331n, 341n, etc",27,K-Secondary = S09,,Length or first dimension,,
"332n, 344n, etc",28,K-Secondary = S10,,"Width, diameter, or second dimension",,
"333n, 347n, etc",29,K-Secondary = S11,,"Depth, thickness, height, or third dimension",,
334n 353n etc,30,K-Secondary = S07,,Logistic Area,,
